Date,Open,High,Low,Close,Adj Close,Volume
2015-02-03,15.9,15.9,14.45,15.5,15.5,86232.0
2015-02-04,15.5,15.55,14.4,14.5,14.5,33497.0
2015-02-05,13.6,15.4,13.6,14.95,14.95,41918.0
2015-02-06,15.2,15.8,14.25,14.55,14.55,38770.0
2015-02-09,14.0,15.5,13.5,14.4,14.4,23419.0
2015-02-10,13.6,14.95,13.55,14.0,14.0,20614.0
2015-02-11,14.1,14.5,13.9,14.0,14.0,13146.0
2015-02-12,14.1,14.65,13.9,14.4,14.4,44939.0
2015-02-13,14.35,14.7,13.7,14.5,14.5,18907.0
2015-02-16,14.5,14.55,13.1,13.95,13.95,46946.0
2015-02-18,13.95,14.5,13.4,14.2,14.2,73765.0
2015-02-19,14.4,16.5,13.5,15.95,15.95,410507.0
2015-02-20,16.299999,16.299999,15.25,15.95,15.95,271154.0
2015-02-23,16.0,16.15,15.3,15.75,15.75,174966.0
2015-02-24,16.15,16.799999,15.45,16.049999,16.049999,493950.0
2015-02-25,16.1,16.9,15.9,16.1,16.1,615888.0
2015-02-26,16.1,16.200001,14.8,15.1,15.1,188248.0
2015-02-27,15.1,15.4,14.6,15.2,15.2,185321.0
2015-02-28,,,,,,
2015-03-02,15.2,15.2,14.3,14.7,14.7,111615.0
2015-03-03,14.7,15.2,14.15,14.75,14.75,87244.0
2015-03-04,15.2,15.2,14.0,14.35,14.35,138599.0
2015-03-05,14.9,14.9,13.65,14.4,14.4,291268.0
2015-03-09,14.4,14.55,13.8,14.2,14.2,28257.0
2015-03-10,15.4,15.4,13.95,14.6,14.6,27196.0
2015-03-11,14.5,14.9,13.9,14.05,14.05,51423.0
2015-03-12,14.3,14.3,13.5,13.65,13.65,133228.0
2015-03-13,14.1,14.1,13.15,13.7,13.7,71783.0
2015-03-16,13.55,13.6,12.9,13.45,13.45,271839.0
2015-03-17,13.6,14.15,13.5,13.75,13.75,266980.0
2015-03-18,13.75,14.1,13.35,14.0,14.0,201150.0
2015-03-19,14.25,14.25,13.7,14.1,14.1,303448.0
2015-03-20,14.95,14.95,12.3,13.0,13.0,264472.0
2015-03-23,12.3,12.3,10.4,10.4,10.4,500977.0
2015-03-24,10.35,10.85,8.35,8.85,8.85,734218.0
2015-03-25,9.25,9.7,8.9,9.7,9.7,88886.0
2015-03-26,10.3,10.65,9.1,10.05,10.05,239348.0
2015-03-27,9.6,10.1,9.1,9.75,9.75,89216.0
2015-03-30,10.65,10.65,9.7,10.45,10.45,44138.0
2015-03-31,10.9,11.0,10.35,10.75,10.75,61676.0
2015-04-01,10.8,11.0,10.4,10.8,10.8,69325.0
2015-04-06,10.8,11.85,10.3,11.7,11.7,157654.0
2015-04-07,11.05,12.85,11.05,12.6,12.6,71685.0
2015-04-08,12.85,13.05,12.0,12.2,12.2,481391.0
2015-04-09,12.75,12.75,11.7,11.8,11.8,28998.0
2015-04-10,11.7,12.0,11.65,11.75,11.75,80806.0
2015-04-13,12.0,12.3,11.55,11.7,11.7,73682.0
2015-04-15,11.7,12.0,11.4,11.5,11.5,74605.0
2015-04-16,11.35,11.8,11.3,11.4,11.4,11305.0
2015-04-17,11.8,11.95,11.15,11.95,11.95,127254.0
2015-04-20,12.2,12.5,11.9,12.5,12.5,103944.0
2015-04-21,12.55,12.7,12.0,12.05,12.05,13492.0
2015-04-22,12.45,12.65,12.1,12.65,12.65,77679.0
